#name=Русско-корейский словарь
#description=Самоучитель корейского языка
kr;tr;ru
여행하다;ёхэнхада;путешествовать
역사;ёкса;история
연구소;ёнгусо;научно-исследователь­ский
연구하다;ёнгухада;изучать
연필;ёнпхиль;карандаш
열다;ёльда;открывать
열쇠;ёльсве;ключ
열차;ёльчха;поезд
엽서;ёпсо;открытка
영;ён;ноль
영화;ёнхва;кинофильм
영화관;ёнхвагван;кинотеатр
옆에;ёпхе;рядом
예;йе;да
예를 들어;йерыль тыро;например
예쁜;йеппын;красивый
오늘;оныль;сегодня
오다;ода;приходить
오렌지색;оренджисэк;оранжевый
오른;орын;правый
오른쪽으로;орынччогыро;вправо
오른쪽으로;орынччогыро;направо
오월;оволь;май
오이;ои;огурец
오토바이;отхобаи;мотоцикл
올라가다;оллагада;подниматься
올리다;оллида;поднимать
옷;от;одежда
와/과;ва/гва;и
와인;ваин;вино
왜;вэ;почему
외국어;вегуго;иностранный язык
외국인;вегугин;иностранец
외환;вехван;валюта
왼;вен;левый
왼쪽으로;венччогыро;влево
왼쪽으로;венччогыро;налево
욕조;ёкчо;ванна
용감한;ёнгамхан;смелый
우산;усан;зонт
우스운;усыун;смешной
우유;ую;молоко
우체국;учхегук;почта
우표;упхё;марка
운동장;ундонджан;стадион
운반하다;унбанхада;везти
운전사;унджонса;водитель
운전하다;унджонхада;вести (автомобиль)
운전하다;унджонхада;управлять (машиной)
울다;ульда;плакать
웃다;утта;смеяться
원인;вонин;причина
월간;вольган;ежемесячный
월요일;ворёиль;понедельник
위의;вие;верхний
위험;вихом;опасность
유리;юри;стекло
유리한;юрихан;выгодный
유명한;юмёнхан;знаменитый
유월;юволь;июнь
유익한;юикхан;полезный
유쾌한;юкхвэхан;веселый
유행;юхэн;мода
은행;ынхэн;банк
음료수;ымнёсу;напиток
음식;ымсик;еда
음식;ымсик;пища
음악;ымак;музыка
음악회;ымакхве;концерт
의미;ыйми;смысл
의사;ыйса;врач
의자;ыйджа;стул
이;и;зуб
이다;ида;быть (являться)
이를 닦다;ирыль такта;чистить зубы
이름;ирым;имя
이리;ири;сюда
이마;има;лоб
이발소;ибальсо;парикмахерская
이상;исан;более
이상한;исанхан;удивительный
이야기;ияги;рассказ
이야기하다;иягихада;разговаривать
이용하다;иёнхада;использовать
이웃;иут;сосед
이월;иволь;февраль
이제;идже;теперь
이해하다;ихэхада;понимать
인형;инхён;кукла
일;иль;дело
일간;ильган;ежедневный
일반;ильбан;половина
일요일;ирёиль;воскресенье
일월;ирволь;январь
일찍;ильччик;рано
읽다;икта;читать
입;ип;рот
입구;ипку;вход
입다;ипта;надевать
입술;ипсуль;губа
있다;итта;быть (находиться)
잊다;итта;забывать
잎;ип;лист (растения)
자동적인;чадонджагин;автоматический
자동차 차고;чадончха чхаго;гараж
자동차;чадончха;автомобиль
자라다;чарада;расти
자르다;чарыда;резать
자리;чари;место
자연;чаён;природа
자전거;чаджонго;велосипед
자주;чаджу;часто
작가;чакка;писатель
작은;чагын;маленький
잔;чан;стакан
잘못;чальмот;ошибка
잠을 자다;чамыль чада;спать
잡다;чапта;ловить
잡지;чапчи;журнал
장갑;чангап;перчатки
장난감;чаннангам;игрушка
재미;чэми;интерес
재미있는;чэми иннын;интересный
저녁 식사;чонёк сикса;ужин
저녁;чонёк;вечер
적다;чокта;мало
적색;чоксэк;красный
전기;чонги;электричество
전등;чондын;лампа
전보;чонбо;телеграмма
전지;чонджи;батарейка
전철;чончхоль;метро
전화;чонхва;телефон
절;чоль;храм (буддийский)
젊은;чольмын;молодой
점심;чомсим;обед
접시;чопси;тарелка
젓가락;чоккарак;палочки для еды
정거장;чонгоджан;вокзал
정구;чонгу;теннис
정류장;чоннюджан;остановка
정오;чонъо;полдень
정원;чонвон;сад
제의하다;чеихада;предлагать
조건;чоккон;условие
조금;чогым;немного
조언;чоон;совет
조용한;чоёнхан;спокойный
졸업하다;чоропхада;окончить учебное заведе­ние
좁은;чобын;узкий
종업원;чонъобвон;официант
종이;чонъи;бумага
종이;чонъи;лист (бумаги)
좋은;чоын;хороший
주간;чуган;еженедельный
주다;чуда;давать
주머니;чумони;карман
주문;чумун;заказ
주문하다;чумунхада;заказывать
주소;чусо;адрес
주스;чусы;сок
주의;чуи;внимание
주의를 주다;чуирыль чуда;обращать внимание
주인;чуин;хозяин
주일;чуиль;неделя
주전자;чуджонджа;чайник
중심;чунсим;центр
중앙;чунъан;середина
중요한;чунъёхан;важный
즐거워하다;чильговохада;наслаждаться
지금;чигым;сейчас
지나가다;чинагада;проходить
지난;чинан;прошлый
지도;чидо;карта
지불;чибуль;плата
지불하다;чибурхада;платить
지붕;чибун;крыша
지역;чиёк;район
지하철역;чихачхоллёк;станция (метро)
직물;чинмуль;ткань
직업;чигоп;профессия
직업;чигоп;работа
질문;чильмун;вопрос
짐;чим;багаж
집;чип;дом
짧은;ччальбын;короткий
차;чха;чай
차가운;чхагаун;холодный
차량;чхарян;вагон
차이;чхаи;разница
차표;чхапхё;билет
창문;чханмун;окно
찾다;чхатта;искать
책상;чхэксан;стол (письменный)
처음으로;чхоымыро;впервые
천;чхон;тысяча
천장;чхонджан;потолок
천천히;чхочхони;медленно
철도;чхольто;железная дорога
청바지;чхонбаджи;джинсы
체온;чхеон;температура (тела)
초대하다;чходэхада;приглашать
최근에;чхвегыне;недавно
쵸컬릿;чхёкхоллит;шоколад
축구;чхукку;футбол
축하하다;чхукхахада;поздравлять
출구;чхульгу;выход
출판사;чхульпханса;издательство
춤;чхум;танец
춤을 추다;чхумыль чхуда;танцевать
층;чхин;этаж
치마;чхима;юбка
치즈;чхиджи;сыр
친구;чхингу;друг
칠월;чхирволь;июль
침대;чхимдэ;кровать
침실;чхимсиль;спальня
카메라;кхамера;фотоаппарат
카페;кхапхе;кафе
칼;кхаль;нож
커트;кхотхы;пальто
커틀렛;кхотхыллет;котлета
커피;кхопхи;кофе
컴퓨터;кхомпхютхо;компьютер
케이크;кхеикхы;пирог
코;кхо;нос
크림;кхырим;сливки
큰;кхын;большой
키스;кхисы;поцелуй
킬로그램;кхиллогырэм;килограмм
킬로미터;кхилломитхо;километр
타다;тхада;садиться на транспорт
택시;тхэкси;такси
텔레비전;тхеллебиджон;телевизор
토마토;тхоматхо;помидор
토요일;тхоёиль;суббота
통역;тхонъёк;перевод (устный)
통역원;тхонъёгвон;переводчик
통역하다;тхонъёкхада;переводить
통조림 식품;тхонджорим сикпхум;консервы
트렁트;тхыронтхы;чемодан
트롤리버스;тхыроллибосы;троллейбус
파;пха;лук
판매원;пханмэвон;продавец
팔다;пхальда;продавать
팜플렛;пхампхыллет;брошюра
페이지;пхеиджи;страница
편리한;пхёллихан;удобный
편지;пхёнджи;письмо
평범한;пхёнбомхан;обыкновенный
포장;пходжан;пакет
포크;пхокхы;вилка
푸르다;пхурыда;голубой
푸른;пхурын;синий
풀;пхуль;трава
품질;пхумджиль;качество (товара)
프로;пхыро;процент
프로그램;пхырогырэм;программа
피곤하다;пхигонхада;устать
피아노;пхиано;пианино
피어 있다;пхио итта;цвести
필요;пхирё;потребность
필요한;пхирёхан;необходимый
하늘;ханыль;небо
하다;хада;делать
하루;хару;сутки
하키;хакхи;хоккей
학교;хаккё;школа
학생;хаксэн;ученик
한자;ханчча;иероглиф
항구;хангу;порт
항상;хансан;всегда
해;хэ;солнце
해안;хэан;берег моря
해외;хэве;заграница
행운;хэнъун;счастье
향수;хянсу;духи
허리끈;хориккын;пояс
혀;хё;язык (орган)
호수;хосу;озеро
호텔;хотхель;гостиница
화요일;хваёиль;вторник
화장실;хваджансиль;туалет
황금;хвангым;золото
회사;хвеса;фирма
회전;хведжон;поворот
회화;хвехва;разговор
휴식;хюсик;отдых
휴일;хюиль;выходной день
희망;химан;надежда
흰;хин;белый
