ID;KANJI;ONKUN;RUS
147;線;セン;линия
148;練;レン・<ね(る)#o>;тренироваться, практиковаться
149;習;シュウ・<なら(う)#o>;учиться
150;考;コウ・<かんが(える)#o>;думать, полагать, придумывать
151;者;シャ・もの;человек, некто
152;肉;ニク;мясо, плоть
153;自;ジ・<みずか(ら)#o>・<おの(ずから)#1 o>;сам, лично, <само собой, спонтанно#1>
154;色;ショク・シキ・いろ;цвет
155;英;エイ;венчик, Британия
156;茶;チャ・サ;чай
157;菜;サイ・な;овощи
158;落;ラク・<お(ちる)#o>・<お(とす)#1 o>;падать, <ронять#1>
159;薬;ヤク・くすり;лекарство
160;親;シン・おや・<した(しい)#1 o>・<した(しむ)#2 o>;родители, <близкий#1>, <сблизиться, подружиться#2>
161;計;ケイ・<はか(る)#o>・<はか(らう)#1 o>;измерять, планировать, <распоряжаться#1>
162;試;シ・<こころ(みる)#1 o>・<ため(す)#2 o>;<проба, испытание#1>, <испытывать, проверять#2>
163;説;セツ・<と(く)#1 o>;теория, слухи, версии, <объяснять, уговаривать#1>
164;調;チョウ・<しら(べる)#1 o>;тон, <выяснять, расследовать#1>
165;貸;タイ・<か(す)#o>;одалживать, давать в долг
166;質;シツ・シチ;качество, характер
167;起;キ・<お(きる)#o>・<お(こる)#1 o>・<お(こす)#2 o>;вставать, <случаться#1>, <будить#2>
168;転;テン・<ころ(がる)#1 o>・<ころ(がす)#2 o>・<ころ(ぶ)#3 o>;поворачиваться, <катиться, падать#1>, <катить, валить#2>, <падать, опрокидываться#3>
169;軽;ケイ・<かる(い)#o>;легкий
170;返;ヘン・<かえ(る)#1 o>・<かえ(す)#2 o>;ответ, <возвращаться#1>, <возвращать#2>
171;送;ソウ・<おく(る)#o>;посылать, сопровождать
172;通;ツウ・<とお(る)#o>・<とお(り)#1 o>・<とお(す)#2 o>・<かよ(う)#3 o>;проходить, <проезд#1>, <пропускать#2>, <ходить туда-обратно, посещать#3>
173;連;レン・<つら(なる)#1 o>・<つら(ねる)#2 o>・<つ(れる)#3 o>;связь, <вытягиваться цепью#1>, <ставить в ряд#2>, <брать с собой#3>
174;進;シン・<すす(む)#o>・<すす(める)#1 o>;продвигаться, <продвигать#1>
175;遅;チ・<おそ(い)#o>・<おく(れる)#1 o>;поздний, <опаздывать#1>
176;運;ウン・<はこ(ぶ)#1 o>;судьба, <везти#1>
177;遠;エン・<とお(い)#o>;далекий
178;部;ブ;часть, отдел(ение)
179;都;ト・ツ・みやこ;столица
180;重;ジュウ・チョウ・<おも(い)#o>・<かさ(ねる)#1 o>・<かさ(なる)#2 o>;тяжелый, <складывать#1>, <быть сложенным#2>
181;野;ヤ・の;необработанное поле, дикий
182;鉄;テツ・くろがね;железо
183;門;モン・かど;ворота
184;閉;ヘイ・<し(める)#o>・<し(まる)#1 o>;закрывать, <быть закрытым#1>
185;開;カイ・<あ(ける)#o>・<あ(く)#1 o>・<ひら(く)#2 o>;открывать, <открываться#1>, <основывать#2>
186;降;コウ・ゴ・<お(りる)#o>・<お(ろす)#1 o>・<ふ(る)#2 o>;спускаться, выходить из транспорта, <спускать#1>, <выпадать, идти (о дожде етк)#2>
187;院;イン;учреждение
188;集;シュウ・<あつ(める)#o>・<あつ(まる)#1 o>;собирать, <собираться#1>
189;青;セイ・あお・<あお(い)#o>;голубой, синий,зеленый, бледный
190;音;オン・イン・おと;звук
191;頭;トウ・ズ・あたま・かしら・かぶり;голова, сч. суф. для крупных животных
192;題;ダイ;тема, заглавие
193;顔;ガン・かお;лицо, выражение лица
194;風;フウ・かぜ;ветер
195;飯;ハン・めし;вареный рис, пища
196;館;カン・やかた;здание, дворец
197;首;シュ・くび;шея, голова
198;験;ケン・ゲン・<ため(す)#o>・<ため(し)#1 o>;испытывать, проверять, <испытание, проверка#1>
199;鳥;チョウ・とり;птица
200;黒;コク・くろ・<くろ(い)#o>;черный цвет, черный
